t_s,action,p_hat,u_prev,e_cmd,dt_s,u_raw,u_shaped,feed_scale,in,out
2.0,retract_suppressed,19.184164,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
2.35,retract_suppressed,18.08933,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
2.7,retract_suppressed,17.056978,0.0,-0.01674,0.35,,,,G1 X59.913 Y55.368 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X59.913 Y55.368 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X59.913 Y55.368 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
3.05,retract_suppressed,16.083542,0.0,-0.01674,0.35,,,,G1 X62.679 Y54.357 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X62.679 Y54.357 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X62.679 Y54.357 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
3.4,retract_suppressed,15.16566,0.0,-0.01327,0.35,,,,G1 X65.000 Y54.107 E-0.01327,; [stabilizer] RETRACTION SUPPRESSED: G1 X65.000 Y54.107 E-0.01327 | G4 S0.35 ; dwell instead of retract | G1 X65.000 Y54.107 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
3.75,retract_suppressed,14.300161,0.0,-0.39782,0.35,,,,G1 X135.000 Y54.107 E-0.39782,; [stabilizer] RETRACTION SUPPRESSED: G1 X135.000 Y54.107 E-0.39782 | G4 S0.35 ; dwell instead of retract | G1 X135.000 Y54.107 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
4.1,retract_suppressed,13.484056,0.0,-0.01674,0.35,,,,G1 X137.918 Y54.505 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X137.918 Y54.505 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X137.918 Y54.505 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
4.45,retract_suppressed,12.714526,0.0,-0.01674,0.35,,,,G1 X140.623 Y55.671 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X140.623 Y55.671 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X140.623 Y55.671 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
4.8,retract_suppressed,11.988912,0.0,-0.01674,0.35,,,,G1 X142.917 Y57.518 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X142.917 Y57.518 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X142.917 Y57.518 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
5.15,retract_suppressed,11.304709,0.0,-0.01674,0.35,,,,G1 X144.632 Y59.913 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X144.632 Y59.913 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X144.632 Y59.913 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
