t_s,action,p_hat,u_prev,e_cmd,dt_s,u_raw,u_shaped,feed_scale,in,out
2.0,retract_suppressed,19.184164,0.0,-4.0,0.35,,,,G1 E-4.00000 F300.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F300.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F120.0 ; micro-prime after dwell
2.35,retract_suppressed,18.08933,0.0,-4.0,0.35,,,,G1 E-4.00000 F300.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F300.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F120.0 ; micro-prime after dwell
2.7,retract_suppressed,17.056978,0.0,-1.83615,0.35,,,,G1 X83.188 Y73.996 E-1.83615,; [stabilizer] RETRACTION SUPPRESSED: G1 X83.188 Y73.996 E-1.83615 | G4 S0.35 ; dwell instead of retract | G1 X83.188 Y73.996 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
3.05,retract_suppressed,16.083542,0.0,-1.1469,0.35,,,,G1 X85.885 Y72.439 E-1.14690,; [stabilizer] RETRACTION SUPPRESSED: G1 X85.885 Y72.439 E-1.14690 | G4 S0.35 ; dwell instead of retract | G1 X85.885 Y72.439 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
3.4,retract_suppressed,15.16566,0.0,-1.83658,0.35,,,,G1 X90.493 Y70.530 E-1.83658,; [stabilizer] RETRACTION SUPPRESSED: G1 X90.493 Y70.530 E-1.83658 | G4 S0.35 ; dwell instead of retract | G1 X90.493 Y70.530 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
3.75,retract_suppressed,14.300161,0.0,-1.14648,0.35,,,,G1 X93.500 Y69.724 E-1.14648,; [stabilizer] RETRACTION SUPPRESSED: G1 X93.500 Y69.724 E-1.14648 | G4 S0.35 ; dwell instead of retract | G1 X93.500 Y69.724 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
4.1,retract_suppressed,13.484056,0.0,-0.20185,0.35,,,,G1 X94.043 Y69.653 E-0.20185,; [stabilizer] RETRACTION SUPPRESSED: G1 X94.043 Y69.653 E-0.20185 | G4 S0.35 ; dwell instead of retract | G1 X94.043 Y69.653 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
4.45,retract_suppressed,12.714526,0.0,-1.63447,0.35,,,,G1 X98.444 Y69.074 E-1.63447,; [stabilizer] RETRACTION SUPPRESSED: G1 X98.444 Y69.074 E-1.63447 | G4 S0.35 ; dwell instead of retract | G1 X98.444 Y69.074 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
4.8,retract_suppressed,11.988912,0.0,-1.14597,0.35,,,,G1 X101.556 Y69.074 E-1.14597,; [stabilizer] RETRACTION SUPPRESSED: G1 X101.556 Y69.074 E-1.14597 | G4 S0.35 ; dwell instead of retract | G1 X101.556 Y69.074 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
5.15,retract_suppressed,11.304709,0.0,-1.83592,0.35,,,,G1 X106.499 Y69.724 E-1.83592,; [stabilizer] RETRACTION SUPPRESSED: G1 X106.499 Y69.724 E-1.83592 | G4 S0.35 ; dwell instead of retract | G1 X106.499 Y69.724 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
5.5,retract_suppressed,10.659553,0.0,-1.14687,0.35,,,,G1 X109.508 Y70.530 E-1.14687,; [stabilizer] RETRACTION SUPPRESSED: G1 X109.508 Y70.530 E-1.14687 | G4 S0.35 ; dwell instead of retract | G1 X109.508 Y70.530 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
5.85,retract_suppressed,10.051216,0.0,-1.83622,0.35,,,,G1 X114.114 Y72.438 E-1.83622,; [stabilizer] RETRACTION SUPPRESSED: G1 X114.114 Y72.438 E-1.83622 | G4 S0.35 ; dwell instead of retract | G1 X114.114 Y72.438 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
6.2,retract_suppressed,9.477597,0.0,-1.14722,0.35,,,,G1 X116.812 Y73.996 E-1.14722,; [stabilizer] RETRACTION SUPPRESSED: G1 X116.812 Y73.996 E-1.14722 | G4 S0.35 ; dwell instead of retract | G1 X116.812 Y73.996 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
6.55,retract_suppressed,8.936714,0.0,-1.83615,0.35,,,,G1 X120.768 Y77.032 E-1.83615,; [stabilizer] RETRACTION SUPPRESSED: G1 X120.768 Y77.032 E-1.83615 | G4 S0.35 ; dwell instead of retract | G1 X120.768 Y77.032 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
6.9,retract_suppressed,8.426699,0.0,-1.14567,0.35,,,,G1 X122.968 Y79.232 E-1.14567,; [stabilizer] RETRACTION SUPPRESSED: G1 X122.968 Y79.232 E-1.14567 | G4 S0.35 ; dwell instead of retract | G1 X122.968 Y79.232 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
7.25,retract_suppressed,7.94579,0.0,-1.83615,0.35,,,,G1 X126.004 Y83.188 E-1.83615,; [stabilizer] RETRACTION SUPPRESSED: G1 X126.004 Y83.188 E-1.83615 | G4 S0.35 ; dwell instead of retract | G1 X126.004 Y83.188 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
7.6,retract_suppressed,7.492326,0.0,-1.14688,0.35,,,,G1 X127.561 Y85.885 E-1.14688,; [stabilizer] RETRACTION SUPPRESSED: G1 X127.561 Y85.885 E-1.14688 | G4 S0.35 ; dwell instead of retract | G1 X127.561 Y85.885 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
7.95,retract_suppressed,7.064742,0.0,-1.83659,0.35,,,,G1 X129.470 Y90.493 E-1.83659,; [stabilizer] RETRACTION SUPPRESSED: G1 X129.470 Y90.493 E-1.83659 | G4 S0.35 ; dwell instead of retract | G1 X129.470 Y90.493 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
8.3,retract_suppressed,6.66156,0.0,-1.14648,0.35,,,,G1 X130.276 Y93.500 E-1.14648,; [stabilizer] RETRACTION SUPPRESSED: G1 X130.276 Y93.500 E-1.14648 | G4 S0.35 ; dwell instead of retract | G1 X130.276 Y93.500 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
8.65,retract_suppressed,6.281387,0.0,-0.20185,0.35,,,,G1 X130.347 Y94.043 E-0.20185,; [stabilizer] RETRACTION SUPPRESSED: G1 X130.347 Y94.043 E-0.20185 | G4 S0.35 ; dwell instead of retract | G1 X130.347 Y94.043 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
9.0,retract_suppressed,5.92291,0.0,-1.63447,0.35,,,,G1 X130.926 Y98.444 E-1.63447,; [stabilizer] RETRACTION SUPPRESSED: G1 X130.926 Y98.444 E-1.63447 | G4 S0.35 ; dwell instead of retract | G1 X130.926 Y98.444 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
9.35,retract_suppressed,5.584892,0.0,-1.14597,0.35,,,,G1 X130.926 Y101.556 E-1.14597,; [stabilizer] RETRACTION SUPPRESSED: G1 X130.926 Y101.556 E-1.14597 | G4 S0.35 ; dwell instead of retract | G1 X130.926 Y101.556 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
9.7,retract_suppressed,5.266164,0.0,-1.83591,0.35,,,,G1 X130.276 Y106.499 E-1.83591,; [stabilizer] RETRACTION SUPPRESSED: G1 X130.276 Y106.499 E-1.83591 | G4 S0.35 ; dwell instead of retract | G1 X130.276 Y106.499 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
10.05,retract_suppressed,4.965626,0.0,-1.14687,0.35,,,,G1 X129.470 Y109.508 E-1.14687,; [stabilizer] RETRACTION SUPPRESSED: G1 X129.470 Y109.508 E-1.14687 | G4 S0.35 ; dwell instead of retract | G1 X129.470 Y109.508 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
